;comment;date
17;"Después de mucho tiempo y muchos intentos, por fin pudimos probar sus platos.

La carta nos pareció un poco corta de ahi que no ponga un 5 ⭐️, por ello los platos que ofrecen los tienen muy controlados de tanto repetirlos. Si algo funciona, para qué cambiarlo, así no defrauda.

Pedimos unos entrantes: Rollitos thai y ensalada viajera. Y de plato principal, arroz chaufa y Rigatoni a la capponatta. Sin postre, pero con café.

Para dos, quedamos bien, no saciados, pero en su justa medida de cantidad. De sabor, todo espectacular.

El lugar acogedor, con mucho espacio, y disponen de terraza para los días apropiados poder comer fuera. El equipo muy atento y cordial.

Un vegetariano para apuntar.

Eso si, para reservar, hay que hacerlo con bastante tiempo, a nosotros nos costó.";2023-03-28
18;"Llevaba bastante tiempo intentando probar este restaurante y la experiencia ha sido muy positiva.

Pedimos la ensalada reverde, croquetas y el rollito thai para compartir, y después la hamburguesa, el arroz chaufa y los tallarines, todo estaba brutal!

A destacar también la atención del servicio, muy serviciales y además nos hicieron muy buenas recomendaciones.

Volveremos!";2023-01-28
19;"Primero felicitar al equipo por ser el primer restaurante que visitamos en todo San Sebastián que mantenía algún tipo de distancia de seguridad entre las mesas, lo cual agradecimos enormemente.

Además, la comida estaba riquísima, la salsa de las patatas  de lujo, el curry verde era una gozada y el wok de verduras delicioso! Y un postre de 10.
El personal muy majo y atento.";2021-01-28
20;He tenido la oportunidad de ir dos veces a este lugar, unos para desayunar tostadas y café, y otro día para cenar…. Debo decir que la comida es muy rica, producto de calidad y fresco, no tuvimos ningún problema…. Buen ambiente y vistas que vale la pena apreciar;2023-08-28
21;Muy recomendable para los que les guste probar platos nuevos y sabores diferentes. Buen servicio y ambiente agradable. Gracias,volveremos!;2023-01-28
22;Lugar bonito, espacioso y luminoso. Dispone también de amplia terraza con vistas al puerto. Fuera de temporada de verano (entre junio y septiembre) hay cantidad aparcamientos gratuitos en los alrededores muy cerca. La comida preparada con gusto y en cantidades aceptables. Bueno, bonito y un precio acorde con éste tipo de cocina, cuyos productos parecen de calidad con resultado de platos sabrosos. Echaría en falta algo más de variedad ya que tengo intención de volver y en un par de veces más ya habré probado todo. El trato por el personal agradable y atento. Tronas para niños pequeños, amplios servicios equipados con cambiador para bebés y meriendas a partir de las 17:00 de la tarde. Fantástico;2020-01-28
23;La tostada de mozzarela, aguacate y huevos revueltos riquísima y el café también! De precio no es demasiado caro. Localización genial, junto al puerto de Hondarribia y cerca de la playa. El servicio un poco lento y una de las camareras poco agradable.;2023-06-28
24;Es la segunda vez que venimos y se ha convertido en una parada obligatoria siempre que estamos en Hondarribia. Absolutamente todo lo que hemos probado está delicioso. En esta visita pedimos el rollito thai, las 3 croquetas que tienen (puerro, queso cabrales y brócoli) la ensalada viajera, el falafel y de postre plátano asado con sopa de coco. Todos los platos son recomendables pero viendo el nivel pide lo que quieras, seguro que está riquísimo.;2023-01-28
25;No merece la pena. Lasaña tibia y salada, curry ardiendo y soso. Camarera con pelo largo algo seca. Dentro del local muy ruidoso con muchos niños dando guerra.;2024-01-21
26;El trato y el servicio son muy agradables, y la comida está increíble, lugar con opciones vegetarianas/veganas muy interesante. Sin duda para repetir!;2023-01-28
